crime_type,location,time
Suspicious Circumstances,Central Mesa Apartments,12:03 PM
Incomplete/Accidental Wireless 911 Call,Scripps Memorial Hospital,1:08 PM
Burglary Alarm,Leichtag Family Foundation Biomedical Research,3:24 PM
Signal Light Malfunction,Gilman Drive/Theatre District Drive,3:32 PM
Non-Criminal Fire,South Mesa Apartments,7:07 PM
Signal Light Malfunction,North Torrey Pines Road/Revelle College Drive,8:25 PM
Vandalism,Mandeville Center,10:47 PM
Disturbance,Astilla,11:07 PM
Simple Assault,Hillcrest Medical Center,8:04 PM
Information,Mesa Canyon Parking,2:18 AM
Trespass: Non-Student Refuse to Leave Campus/ University Curfew Violation/ Stay Away Order Issuance,Pepper Canyon Hall,4:50 AM-5:20 AM
Security Alarm,Blue Peek,5:15 AM
Traffic Hazard,La Jolla Village,6:50 AM
Property Damage,One Miramar Street,8:16 AM
Incomplete/Accidental Landline 911 Call,UC San Diego,8:29 AM
Welfare Check,Regents Road,8:32 AM
Information Only Report,CAPA,8:49AM-9:35AM
Information,CAPA,8:49AM-9:35AM
Traffic Hazard,La Jolla Village Drive,8:58 AM
Suspicious Person,Visual Arts Facility,9:54 AM
Suspicious Person,Mosaic,10:05 AM
Hit and Run Collision - No Injuries,Torrey Pines Lane,10:24 AM
Medical Aid,Koman Family Outpatient,11:05 AM
Mental Health Detention,UC San Diego Residential Area,11:15 AM
Security Alarm,Humanities and Social Sciences,11:30 AM
Hazard Situation,La Jolla Village Drive,11:36 AM
Suspicious Person,Torrey Pines Center - South,12:48 PM
Incomplete/Accidental Landline 911 Call,Catalyst,1:21 PM
Petty Theft - Micro Mobility Device,Center Hall,4:00PM-9:00PM
Injury,Torrey Pines Road,4:40 PM
Welfare Check,Gilman Drive,5:17 PM
Information,Medical Center Drive,11:00 AM
Fire Alarm,Viento on Miramar Street,7:23 PM
Incomplete/Accidental Landline 911 Call,Tata Hall,7:43 PM
Welfare Check,Villa La Jolla Drive,7:53 PM
Security Alarm,North Torrey Pines Road,9:25 PM
Welfare Check,Erc Administration,10:01 PM
Battery,UCSD Medical Center - Hillcrest,2:45 PM
Theft,Jacobs Medical Center,2:45 PM
Vehicle Burglary,Miramar Street,8:30 AM-6:40 AM
Medical Aid,Tamarack Apartments,7:23 AM
Hazard Situation,Voigt Drive,7:41 AM
Security Alarm,Student Services Center,8:03 AM
Medical Aid,Executive Drive,9:54 AM
Signal Light Malfunction,La Jolla Village,12:02 PM
Citizen Assist,Theatre District Parking,12:18 PM
Medical Aid,Moore's Cancer Center,2:16 PM
Illegal Parking,Franklin Antonio Hall,2:47 PM
Disturbance,Mesa Apartments - South,2:48 PM
Welfare Check,Price Center - East,3:41 PM
Citizen Assist,Jacobs Medical Center - Bed Tower,4:07 PM
Lost Property,Campus Emergency Services,4:29 PM
Security Alarm,Leichtag Family Foundation,7:05 PM
Petty Theft - Micro Mobility Device,Geisel Library,4:00PM-7:00PM
Fire Alarm,Tdlln - Pulse,8:16 PM
Welfare Check,Design and Innovation,8:34 PM
Suspicious Person,University Center 108,1:03 AM
Trespass,Thornton Pavilion,1:09 AM
Welfare Check,Gilman Drive/Interstate 5 Overpass Bridge,2:51 AM
Stay Away Order Issuance,Ridge Walk Academic Building,7:04 AM
Possession of Controlled Substances,Gilman Parking Structure,7:52 AM
Illegal Camping,Mosaic,8:18 AM
Information Only Report,Rya,10:17 AM
Incomplete/Accidental Wireless 911 Call,Off Campus (Unknown Address),12:37 PM
Incomplete/Accidental Wireless 911 Call,Russel Walk/Lyman Walk,1:15 PM
Welfare Check,Cala,1:30 PM
Incomplete/Accidental Wireless 911,La Jolla Family House,4:22 PM
Incomplete/Accidental Wireless 911 Call,Brisa,4:23 PM
Petty Theft - Micro Mobility Device,Bonner Hall,2:10 PM - 5:10 PM
Hit and Run Collision - No Injuries,Interstate 5 Northbound/Nobel Drive,5:59 PM
Suspicious Person,Kaleidoscope,9:58 PM
Citizen Assist,La Jolla Family House,10:59 PM
Burglary Alarm,Central Utilities Plant,11:32 PM
Theft,East Campus Hospital,7:50 AM
Petty Theft,Central Mesa Apartments,6:00 PM - 4:00 PM
Campus Security Authority Report (CSA),UC San Diego Residential Area,Unknown
Citizen Contact,Campus Emergency Services Building,10:46 AM
General Disturbance,South Mesa Apartments,11:34 AM
Outside Agency Courtesy Report: Injury,Villa La Jolla Drive/Nobel Drive,12:08 PM
Burglary Alarm,Humanities and Social Sciences,12:15 PM
Incomplete/Accidental Wireless 911 Call,Price Center West,12:34 PM
Incomplete/Accidental Wireless 911 Call,Alumni and Welcome Center,12:56 PM
Grand Theft,Medical Education and Telemedicine,12:00 PM - 4:30 PM
Parole Violation/ Drug Law Arrest,Trolley - Central Campus Station,4:50 PM
General Disturbance,Target,5:17 PM
Non-Injury Collision,La Jolla Village Drive/Torrey Pines Road,5:25 PM
Found Property,Parking Lot P761,6:15 PM
Incomplete/Accidental Landline 911 Call,Brisa,6:50 PM
Traffic Hazard,Interstate 5 Northbound/Genesee Avenue,11:01 PM
Petty Theft - Micro Mobility Device,Rimac,4:40 PM - 6:40 PM
Theft,Jacobs Medical Center,12:00 AM
Unknown Injury,La Jolla Village,12:18 AM
Citizen Assist,Seventh College,2:03 AM
Attempt to Contact,Tdlln - Sankofa,6:39 AM
Medical Aid,Off Campus,7:56 AM
Outside Agency Warrant Arrest,Design and Innovation Building,8:00 AM
Suspicious Person,Franklin Antonio Hall,8:08 AM
Grand Theft,Jacobs Medical Center,8:30 PM-6:30 AM
Attempt to Contact,UC San Diego,12:28 PM
Incomplete/Accidental Wireless 911 Call,Conrad Prebys Music Center,12:42 PM
Incomplete/Accidental Wireless 911 Call,Triton Parking,12:48 PM
Medical Aid,Villa La Jolla Drive,1:22 PM
Fire Alarm,Capa,3:58 PM
Suspicious Person,Actri on Medical Center,4:17 PM
Animal Call,Sio Pier,4:23 PM
Petty Theft - Micro Mobility Device,Trolley - Central,10:20AM-16:30AM
Petty Theft,Medical Education and Telemedicine,4:30 PM - 4:51 PM
Found Property,Neighborhood - ECEC,5:19 PM
Mental Health Detention,UC San Diego Residential Area,8:39 PM
Threaten Crime with Intent to Terrorize/ Hate Crime - Race,Parking Lot P761,9:00 PM
Suspicious Person,Athena Circle,9:10 PM
Disturbance,Piedra,9:12 PM
Incomplete/Accidental Wireless 911 Call,Tioga Hall,10:32 PM
Sex Offender: Fail to Register/ Stay Away Order Issuance,One Miramar Street,12:34 AM
Noise Disturbance,Mesa Apartments,1:52 AM
"Disturbance, Domestic Violence",Pepper Canyon Apartments,2:40 AM
Security Alarm,Biomedical Sciences Building,9:11 AM
Suspicious Person,Parking Lot P510,10:08 AM
Incomplete /Accidental Wireless 911 Call,Marshall Upper Apts L,10:51 AM
Suspicious Person,Target-PC West On Matthews Lane,10:58 AM
Welfare Check,George Palade Laboratories,11:11 AM
Medical Aid,Mesa Apartments South,12:12 PM
Welfare Check,Sankofa On Scholars Drive South,12:25 PM
Found Property,Off Campus-Unknown Location,1:45 PM
Information,Trolley- Central Campus Station,1:47 PM
Citizen Flagdown,Parking Lot P510,4:31 PM
Found Property,San Diego Convention Center,9:30 PM
Welfare Check,parking Lot P304,9:44 PM
Non Injury Collision,Regents Road/ La Jolla Village Drive,10:01 PM
Citizen Assist,La Jolla Village Drive/ Regents Road,10:49 PM
Fire Alarm,Deep Sea Drilling,12:49 AM
Domestic Violence Disturbance,UCSD Residential Area,2:24 AM
Welfare Check,Matthew Apartments,2:41 AM
Quiet Hours Contact,Cala,2:42 AM
Welfare Check,Price Center,5:16 AM
Disorderly Conduct: Alcohol,Bates Hall,6:12 AM - 5:55 AM
Burglary Alarm,Student Health and Wellness,10:28 AM
Reckless Driving,Interstate 5,10:43 AM
Impound Property,Seventh College,10:49 AM
Grand Theft - Micro Mobility Device,Rita Atkinson,8:00PM-8:00AM
Welfare Check,Campus Emergency Services Building,12:03 PM
Attempt to Contact,Tdlln - Sankofa,2:39 PM
Incomplete/Accidental Landline 911 Call,Exchange on Miramar Street,4:41 PM
Welfare Check,Missing Brewing,6:11 PM
Medical Aid,Regents Medical Plaza,6:58 PM
Suspicious Person,Design and Innovation Building,7:04 PM
Fire Alarm,Tdlln - Azad,7:04 PM
Domestic Dispute,Tapestry on Scholars,9:14PM-10:04PM
Fire Watch,Piedra on Miramar Street,9:41 PM
Noise Disturbance,Hubbs Hall,11:51 PM
Noise Disturbance,Rya,12:01 AM
Noise Disturbance,Pulse,2:49 AM
Welfare Check,Mesa Canyon Parking Structure,3:06 AM
Welfare Check,Galathea Hall,3:55 AM
Burglary Alarm,LGBT Resource Center,5:51 AM
Incomplete/Accidental Wireless 911 Call,Tioga Hall,6:01 AM
Burglary Alarm,Student Services Center,7:03 AM
Trespass,"Northridge Drive, Palmdale, California",9:55 AM
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,9:58 AM
Medical Aid,Peterson Hall,10:14 AM
Injury,Sulpizio Family Cardiovascular Center,10:51 AM
Mental Health Detention,UCSD Residential Area,11:56 AM - 5:56 PM
Incomplete/Accidental Wireless 911 Call,Jacobs Hall,12:08 PM
Petty Theft - Micro Mobility Device,Stewart Commons,1:55 PM
Grand Theft,Canyon Vista,6:15 AM - 2:30 PM
Gas/Water/Sewer Leak,Scholars Drive North/Thurgood Marshall Lane,3:02 PM
Medical Aid,Rebecca and John Moores Cancer Center,4:07 PM
Incomplete/Accidental Wireless 911 Call,Genesee Avenue,4:11 PM
Shoplifting,Target - PC West,4:20 PM
Possession of Marijuana,Stewart Hall,4:34 PM
Welfare Check,UCSD Residential Area,4:39 PM
Ticket Sign Off,UCSD Police Department,4:56 PM
Medical Aid,Scripps Memorial Hospital,5:52 PM
Petty Theft,Peterson Hall,5:00 PM - 5:45 PM
Medical Aid,Scripps Memorial Hospital,6:08 PM
Alcohol Contact,Justice Lane,9:56 PM
Noise Disturbance,Mesa Verde Hall,10:15 PM
Petty Theft - Micro Mobility Device,Warren Lecture Hall,7:00 PM - 10:00 PM
Simple Assault,East Campus Hospital,1:20 AM
Burglary Alarm,Leichtag Family Foundation Biomedical Research,1:49 AM
Noise Disturbance,Pepper Canyon Apartments 1700,1:55 AM
Drunk in Public,La Jolla Village Drive/Lebon Drive,2:31 AM
Alcohol Contact,Black Hall,2:36 AM
Trespass / University Curfew Violation,Computer Science and Engineering Building,5:50 AM
Non-student Refuse to Leave University/ Camping on UC Campus,Pepper Canyon Hall,6:18 AM
Burglary Alarm,Campus Curbside Pickup,6:20 AM
Information,Thornton Pavilion,6:42 AM
Hit & Run Collision - No Injuries,South Parking Structure,2:33 PM
Information,Geisel Library,8:28 AM
Incomplete/Accidental Landline 911 Call,UC San Diego,8:42 AM
Welfare Check,Canyonview Recreation/Athletics Administration,9:03 AM
Non-Injury Collision,Jacobs Medical Center,9:36 AM
Non-Injury Collision,Voigt Drive/Health Sciences Drive,9:44 AM
Petty Theft - Micro Mobility Device,Solis Hall,8:00 AM - 9:30 AM
Report of Vandalism,Stewart Commons Annex,10:55 AM
Incomplete/Accidental Wireless 911 Call,Voigt Drive/Engineers Lane,1:07 PM
Signal Light Malfunction,La Jolla Village Drive/Villa La Jolla Drive (Off-campus),3:51 PM
Fire Alarm,Azad,5:11 PM
Campus Security Authority Report (CSA),UC San Diego,Unknown
Ticket Sign Off,UCSD Police Department,5:42 PM
Petty Theft - Micro Mobility Device,Center Hall,3:00 PM - 5:00 PM
Incomplete/Accidental Landline 911 Call,Theatre District Parking Structure,7:53 PM
Tamper with Fire Alarm,Visual Arts Facility - Building 2,8:37 PM - 9:02 PM
Incomplete/Accidental Landline 911 Call,Scholars Parking,8:52 PM
Injury,Rimac Field,9:45 PM
Welfare Check,La Jolla Village Drive,9:52 PM
Found Property,Rita Atkinson Residences,10:22 PM
Burglary Alarm,Student Services Center,11:24 PM
UC Policy Violation,Brennan Hall,11:57 PM
Petty Theft - Bicycle,Rita Atkinson Residences,2:00 AM - 7:00 PM
Suspicious Person,Health Science/Revelle Footbridge,12:12 AM
Assist Other Agency,Capa,1:05 AM
Report of Petty Theft - Micro Mobility Device,Geisel Library,8:30 PM - 10:00 PM
Suspicious Person,Arena,12:36 AM
Incomplete/Accidental Wireless 911 Call,Viento,1:44 AM
Fire Alarm,Pulse,2:09 AM
Suspicious Person,Price Center Plaza,2:11 AM
Suspicious Person,Mesa Canyon Parking Structure,5:50 AM
Report of Petty Theft - Micro Mobility Device,Tioga Hall,4:00 PM - 8:50 AM
Shoplifting / Stay Away Order Issuance,Bookstore,8:53 AM - 9:50 AM
Citizen Contact,UCSD Police Department,10:41 AM
Incomplete/Accidental Wireless 911 Call,Mosaic,3:02 PM
Report of Petty Theft - Micro Mobility Device,Solis Hall,10:45 AM - 2:45 PM
Hit and Run Collision - No Injuries,Pangea Parking Structure,6:00 PM - 10:30 AM
Non-Injury Collision,Fleet Services,4:13 PM
Campus Security Authority Report (CSA),UC San Diego Residential Building,Unknown
Injury,Kaleidoscope,5:06 PM
Unknown Injury Collision,La Jolla Village Drive/Interstate 5 Southbound,5:19 PM
Incomplete/Accidental Wireless 911 Call,Visual Arts Facility - Building 3,6:53 PM
Incomplete/Accidental Wireless 911 Call,La Estancia Hotel,8:48 PM
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,8:49 PM
Incomplete/Accidental Wireless 911 Call,Black Gold Road,8:51 PM
Incomplete/Accidental Wireless 911 Call,Black Gold Road,8:53 PM
Medical Aid,Atlantis Hall,9:33 PM
Noise Disturbance,Europe Hall,9:42 PM
Vehicle Impound,3100 Salk Institute Road,10:04 PM
Welfare Check,Kaleidoscope,10:50 PM
Suspicious Person,Podemos,10:53 PM
Unknown Trouble,La Jolla Village Drive/Genesee Avenue,11:08 PM
Traffic Hazard,Gilman Drive/Pepper Canyon Drive,11:08 PM
Medical Aid,UC San Diego Health Urgent Care,11:39 PM
Report of Petty Theft - Micro Mobility Device,Charles Keeling Apartments Building 1,11:35 AM - 12:00 AM
Petty Theft,Structural & Material Engineering Building,12:00 PM - 12:00 AM
Petty Theft - Micro Mobility Device,Geisel Library,11:10 PM - 11:20 PM
Non Student Refusing To Leave Campus / Stay Away Order Issuance,Parking Lot 101,1:18 AM
Hit & Run Collision: Non-Injury,Hopkins Parking On Hopkins Drive,1:54 AM
Welfare Check,Seventh College West #6,2:31 AM
Suspicious Person,Brisa,2:32 AM
Noise Disturbance,Parking Lot 610,8:46 AM
Illegal Parking,Black's Beach On Blacks Beach Way,10:15 AM
Incomplete/ Accidental Wireless 911 Call,Russell Walk/ Lyman Walk,11:23 AM
Medical Aid,Moores Cancer Center,11:27 AM
Campus Security Authority Report (CSA),Birch Aquarium,1:54 AM
Grand Theft,Seventh College West #6,12:40 AM - 9:40 AM
Trespass: Occupy Property Without Consent/ Camping on UC Campus/ Stay Away Order Issuance,"Visual Arts Facility, Building 2",1:18 PM
Incomplete/ Accidental Wireless 911 Call,Porton On Miramar Street,1:24 PM
Information Only,Unknown Off Campus Location,2:07 PM
Information Only,Price Center On Lyman Walk/ Library Walk,2:33 PM
Lost Property,Unknown,Unknown
Hit & Run Collision: Non Injury,Athena Parking,4:00 PM
Medical Aid,"Modesto, California",6:43 PM
Security Alarm,Communication Building,7:02 PM
Voluntary Psych Referral,Computer Sciences & Engineering Building,7:04 PM
Suspicious Circumstances,Brennan Apartments,6:46 PM - 6:55 PM
Fire Alarm,Tapestry,9:05 PM
Fire Alarm,Kaleidoscope,10:28 PM
Noise Disturbance,Douglas Apartments,10:50 PM
Noise Disturbance,Piedra,10:53 PM
Noise Disturbance,Harlan Hall,11:05 PM
UC Policy Violation,Brisa,11:34 PM
Injury,Seventh College West #1,11:55 PM
Noise Disturbance,Seventh College - West,12:38 AM
Suspicious Circumstances,York Hall,1:29 AM
Noise Disturbance,Seventh College - West,1:51 AM
Alcohol Contact,Scholars Drive,2:17 AM
Stay Away Order Issuance,Mesa Footbridge,3:49 AM - 4:33 AM
Medical Aid,Pepper Canyon Apartments,7:55 AM
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,8:03 AM
Citizen Contact,UCSD Police Department,8:25 AM
Information,Rita Atkinson Residences,9:47 AM
Drug Law Violation Arrest/ Stay Away Order Issuance,Parking Lot P701,10:06 AM - 12:20 PM
Welfare Check,Catalyst,10:11 AM
Citizen Contact,Student Services Center,10:21 AM
Medical Aid,Campus Point Court,11:53 AM
Citizen Contact,UCSD Police Department,11:58 AM
Property Damage,78 Freeway Connector,1:00 PM
Medical Aid,Dickinson,2:21 PM
Incomplete/Accidental Wireless 911 Call,Voigt Drive,4:18 PM
Suspicious Person,Peterson Hall,4:23 PM
Hit and Run Collision: Non-Injury,Parking Lot P510,7:30 AM - 4:00 PM
Incomplete/Accidental Landline 911 Call,Design and Innovation Building,4:28 PM
Non-Student: Refuse to Leave University/ Stay Away Order Issuance,Mandell Weiss Theatre,4:34 PM - 5:36 PM
Fire Alarm,Trolley - Central Campus Station,4:33 PM
Incomplete/Accidental Wireless 911 Call,Oceanview Terrace,4:51 PM
Illegal Camping,Par Course,5:15 PM
Citizen Contact,Trolley - Central Campus Station,5:52 PM
Incomplete/Accidental Landline 911 Call,Tapestry,6:03 PM
Medical Aid,Moore's Cancer Center,6:43 PM
Possession of Marijuana,Information Center - North Point Entrance,6:59 PM
Incomplete/Accident Landline 911 Call,UC San Diego,8:51 PM
Noise Disturbance,Seventh College - West,9:57 PM
Petty Theft - Micro Mobility Device,Geisel Library,2:00PM-10:00PM
Noise Disturbance,"One Miramar Street, Building 1",10:20 PM
Theft,UCSD Medical Center - Hillcrest,2:35 PM
Noise Disturbance,Tdlln - Pulse,12:08 AM
Possession of Marijuana,Brennan,12:28 AM
Noise Disturbance,Rya,12:40 AM
Noise Disturbance,Tioga Hall,12:52 AM
Disturbance,Cala,1:00 AM
Noise Disturbance,Seventh College,1:06 AM
Noise Disturbance,Douglas Apartments,1:50 AM
Welfare Check,Earth Hall - South,1:57 AM
Noise Disturbance,Rya,2:03 AM
Information Only Report,Cala,9:10 AM
Incomplete/Accidental Wireless 911 Call,Sheila and Hughes Potiker,12:49 PM
Citizen Contact,Sally T Wongavery Library,12:54 PM
Incomplete/Accidental Wireless 911 Call,Birch Aquarium,2:30 PM
Missing Vehicle,Parking Lot P671,6:12 PM
Injury,Main Gymnasium,6:54 PM
Information,Vela,7:18 PM
Incomplete/Accidental Landline 911 Call,Mosaic,7:30 PM
Incomplete/Accidental Landline 911 Call,Miramar Street,9:48 PM
Citizen Contact,Franklin Antonio Hall,10:32 PM
Trespass,University Credit Union,11:18 PM
Incomplete/Accidental Wireless 911 Call,Nobel Drive,11:28 PM
Vandalism,Campus Point Parking,1:30 AM
UC Policy Violation,Kathmandu House,12:19 AM
Noise Disturbance,Seventh College East #1,1:06 AM
Vandalism,Thornton Hospital,12:00 AM - 1:00 AM
Fire Alarm,Charles David Keeling Apartments 2,2:49 AM
Property Damage,Mosaic,3:41 AM - 4:27 AM
Suspicious Person,Podemos,3:44 AM
Fire Alarm,Scholars Parking,5:03 AM
Welfare Check,Price Center West,6:52 AM
Burglary Alarm,Triton Center,8:32 AM
Signal Light Malfunction,Villa La Jolla Drive (Off-Campus)/La Jolla Village,3:25 PM
Indecent Exposure,Torrey Pines Scenic Drive,5:51 PM
Incomplete/Accidental Landline 911,Tapestry,8:26 PM
Medical Aid,Peterson Hall,9:14 PM
Incomplete/Accidental Wireless 911,Muir Lane,9:40 PM
Incomplete/Accidental Wireless 911,Muir Lane,9:55 PM
Noise Disturbance,Tapestry,10:08 PM
Information,Argo Hall,10:44 PM
Petty Theft - Micro Mobility Device,Structural Materials Engineering Bldg.,2:00 PM - 9:00 PM
Non-Injury Accident,South Parking Structure,10:55 PM - 11:36 PM
Illegal Parking,Exchange,11:19 PM
Information,Rya,11:28 PM
Medical Aid,Trolley - La Jolla Health Station,12:50 AM
Domestic Violence Assault,UCSD Campus - Residential,Unknown
Stay Away Order Issuance,Price Center West - Target,8:50 AM
Welfare Check,Biology Building,9:38 AM
Shoplifting,Price Center West - Target,11:50 AM - 12:00 PM
Welfare Check,Parking Lot P003,9:55 AM
Suspicious Circumstances,Artesa,2:22 PM - 6:00 AM
Hit & Run Collision: Non Injury,Mesa Canyon Parking Structure,10:16 PM - 7:15 PM
Incomplete/Accidental Wireless 911 Call,Student Services Center,11:56 AM
Illegal Camping,"School of Medicine, Building 4",12:01 PM
Incomplete/Accidental Landline 911 Call,Brisa,12:23 PM
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,1:17 PM
Hazard Situation,La Jolla Village Drive/ Villa La Jolla Drive (Off-Campus),2:09 PM
Information Only Report,Koman Family Outpatient Pavilion,Unknown
Gas/Water/Sewer Leak,Student Service Center,2:23 PM
Hazard Situation,La Jolla Village Drive/ Interstate 5 Southbound,2:35 PM
Disturbance,Rya,2:42 PM
Vandalism,Campus Point Parking West,6:30 AM - 2:49 PM
Disorderly Conduct: Alcohol/ Stay Away Order Issuance,Gilman Drive/ Medical Center Drive,5:06 PM - 8:20 PM
Welfare Check,Price Center East,5:08 PM
Incomplete/Accidental Landline 911 Call,Mosaic,5:13 PM
Disturbance,La Jolla Institute for Immunology,5:16 PM
Incomplete/Accidental Wireless 911 Call,Design & Innovation Building,5:49 PM
Incomplete/Accidental Landline 911 Call,Design & Innovation Building,5:49 PM
Disturbance,Price Center West - Dirty Birds,7:58 PM
Noise Disturbance,Marea,8:19 PM
Medical Aid,Brown Hall,8:30 PM
UC Policy Violation,Early Childhood Education Center A,9:16 PM
Vandalism,Frankfurter Hall,Unknown
Domestic Violence Assault/ Violation of Domestic Violence Restraining Order/ Vandalism,UCSD Campus - Residential,10:39 PM - 12:39 AM
Noise Disturbance,Rya,11:22 PM
Noise Disturbance,Argo Hall,1:19 AM
Suspicious Person,Mayer Hall,4:41 AM
Welfare Check,Bobier Drive,5:59 AM
Security Alarm,Sunshine Market,6:11 AM
Medical Aid,Radiation Oncology Pet Center,7:11 AM
Incomplete/Accidental Wireless 911 Call,Pepper Canyon Housing North,7:22 AM
Vandalism,Franklin Antonio Hall,1:39AM-1:41
Information,Campus Point Parking,9:45 AM
Counter Collision Report,Campus Emergency Services Building,1:45 PM
Mental Health Detention,Shiley Eye Institute,11:15 AM
Security Alarm,Warren Lecture Hall,12:35 PM
Petty Theft,Miramar Street,8:38 PM-1:00 PM
Medical Aid,Moore's Cancer Center,2:01 PM
Incomplete/Accidental Wireless 911 Call,Galbraith Hall,2:02 PM
Vandalism,York Hall,2:20 PM
Incomplete/Accidental Wireless 911 Call,Ida and Cecil Green Faculty,3:17 PM
Medical Aid,Actri,3:30 PM
Reckless Driving,Scholars Drive,3:57 PM
Incomplete/Accidental Wireless 911 Call,Scholars Parking,5:08 PM
Incomplete/Accidental Wireless 911 Call,Genesee Avenue,6:44 PM
Grand Theft,Viento,5:30 PM-5:00 PM
Information,Matthews Apartments,9:53 PM
UC Policy Violation,Scholars Drive,10:22 PM
Security Alarm,Leichtag Family Foundation,11:17 PM
Simple Assault,UCSD East Campus Medical Center,8:45 PM
Petty Theft,Miramar Street,8:38PM-1:00PM
Petty Theft,Miramar Street,12:00AM-8:50AM
Petty Theft - Micro Mobility Device,Neighborhood - Price Center,8:40 PM-8:50 PM
Noise Disturbance,Argo Hall,12:20 AM
Noise Disturbance,Seventh College - West,2:07 AM
Noise Disturbance,Douglas Apartments,2:09 AM
Medical Aid,Seventh College - West,3:29 AM
Hazardous Materials,East Campus Medical Center,5:10 AM
Incomplete/Accidental Landline 911 Call,The Jeannie on Scholars,7:03 AM
Citizen Contact,Campus Emergency Services Building,8:22 AM
Non-Injury Accident,La Jolla Village Drive,9:50AM-10:44AM
Suspicious Vehicle,Torrey Pines Glider port,9:52 AM
Incomplete/Accidental Landline 911 Call,Tapestry,10:05 AM
Disturbance,University Avenue,10:32 AM
Shoplifting,Bookstore,10:07AM-10:47AM
Welfare Check,Campus Point Parking West,11:03 AM
Fire Alarm,Tdlln - Sankofa,11:06 AM
Indecent Exposure,Torrey Pines Glider port,11:31 AM
Panic/Silent Alarm,Pepper Canyon Hall,11:33 AM
Property Damage,Campus Services Way,11:37 AM
Citizen Contact,Visual Arts Facility,11:49 AM
Incomplete/Accidental Wireless 911 Call,Russell Walk,12:00 PM
Lewd Act In Public,Torrey Pines Glider port,12:39 PM
Attempted Grand Theft - Micro Mobility Device,La Jolla Del Sol,7:30 PM - 12:30 PM
Incomplete/Accidental Wireless 911 Call,Jacobs Medical Center,1:15 PM
Petty Theft - Micro Mobility Device,York Hall,11:00 AM-9:45 AM
Drug Impound,Parking Lot P751,2:06 PM
