crime_type,location,time
Medical Aid,UC Extended Studies,2:23 PM
Incomplete/Accidental Landline 911 Call,Genesee Avenue,2:31 PM
Information,Black Gold Road,2:55 PM
Suspicious Person,Visual Arts Facility,3:17 PM
Petty Theft,Warren Lecture Hall,3:59 PM
Welfare Check,Pepper Canyon Apartments,4:16 PM
Traffic Hazard,Gilman Drive,4:27 PM
Grand Theft,Warren Lecture Hall,4:00PM-4:50PM
Welfare Check,Genesee Avenue,5:06 PM
Incomplete/Accidental Landline 911 Call,Tapestry,7:01 PM
Fire Alarm,Kaleidoscope,7:04 PM
Security Alarm,Campus Services Complex - Building C,7:43 PM
Disturbance,Seventh College - East,8:20 PM
Incomplete/Accidental Wireless 911 Call,Pepper Canyon Housing,9:05 PM
Medical Aid,Rita Atkinson Residences,10:37 PM
Medical Aid,Tioga Hall,10:49 PM
Welfare Check,Trolley - La Jolla Health Station,11:45 PM
Citizen Contact,Matthews Apartments,12:04 AM
Security Alarm,Environmental Management Facility,4:55 AM
Reckless Driving,I-5,6:05 AM
Security Alarm,Cognitive Sciences Building,8:36 AM
Assist Other Agency,Goldberg Apartments,9:25 AM
General Disturbance,Villa La Jolla,9:56 AM
Gas/Water/Sewer Leak,Leichtag Family Foundation,10:52 AM
Injury,Voigt Dip,1:03 PM
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,1:36 PM
Incomplete/Accidental Wireless 911 Call,La Jolla Village Drive,2:21 PM
Medical Aid,La Jolla Del Sol Apartments,2:29 PM
Welfare Check,Student Services Center,2:44 PM
Unknown Injury Accident,I-5,3:13 PM
Citizen Contact,Leichtag Family Foundation,1:30pm
Vandalism,General Store,4:46 PM
Injury,Muir Lane,4:58 PM
Animal Call,Tamarack Apartments,5:30 PM
Security Alarm,Student Services Center,5:49 PM
Lost Property,High Bay Physics,6:25 PM
Incomplete/Accidental Landline 911 Call,Design and Innovation Building,6:50 PM
Missing Vehicle,Theatre District Parking,8:35 PM
Security Alarm,Leichtag Family Foundation,8:42 PM
Missing Person,Mesa Apartments - South,9:47 PM
Noise Disturbance,Tdlln - Pulse,10:19 PM
Drunk in Public,Mandell Weiss Theatre,10:49 PM
Possession of Marijuana,Oceania Hall,11:58 PM
Petty Theft,Tioga Hall,4:00PM-8:45PM
Battery,UCSD Medical Center - Hillcrest,6:42 PM
Citizen Flagdown,Trolley - Central Campus Station,1:43 AM
Noise Disturbance,Earth Hall - North,1:43 AM
General Disturbance,Holiday Court,7:08 AM
Incomplete/Accidental Wireless 911 Call,Voigt Drive,8:38 AM
Vandalism,Central Utilities Plant,7:30PM-8:50PM
Fire Alarm,Mosaic,10:00 AM
Disturbance,Veteran Affairs Medical Center,10:07 AM
Campus Security Authority Report,UCSD Medical Center - Hillcrest,10:31 AM
Petty Theft,Campus Emergency Services Building,12:00PM-11:30AM
Vandalism,Rita Atkinson,12:00PM-12:21PM
Citizen Contact,Student Services Center,3:08 PM
Petty Theft,La Jolla Del Sol,8:30AM-5:45PM
Information,Mesa Apartments - South,7:06 PM
Incomplete/Accidental Landline 911 Call,Brisa on Miramar Street,7:09 PM
Stay Away Order,Galbraith Hall,7:15PM-8:32PM
Petty Theft,Vela on Gilman Drive,4:00PM-8:30PM
Domestic Dispute Incident,UCSD Campus - Residential,9:09 AM
Suspicious Person,Mesa Apartments - Central,9:34 AM
Weapons Law Violation Arrest/ Stay Away Order Issuance,Design and Innovation Lane,12:15 PM
Welfare Check,Gilman Parking,1:20 PM
Medical Aid,Torrey Pines Glider port,1:57 PM
Incomplete/Accidental Wireless 911 Call,Cala,3:13 PM
Suspicious Circumstance,Gilman Drive/ Mandeville Lane,5:31 PM-6:18 PM
Incomplete/Accidental Wireless 911 Call,Tdlln - Podemos,6:58 PM
Incomplete/Accidental Wireless 911 Call,North Torrey Pines,7:35 PM
Incomplete/Accidental Wireless 911 Call,Nobel Drive,8:51 PM
Petty Theft,Scholars Drive,12:00AM-10:00AM
Suspicious Circumstance,Calle Del Oro,10:32 PM
Suspicious Person,Tdlln - Pulse,11:13 PM
Security Alarm,Joan and Irwin Jacobs,11:28 PM
Weapons Law Violation/ Drug Law Violation/ Stay Away Order Issuance,Cala,2:22 AM - 3:05 AM
Vandalism/ Stay Away Order Issuance,Health Trolley Footbridge,7:00 AM - 6:47 AM
Drug Law Violation/ Failure to Pay Transit System/ Stay Away Order Issuance,Trolley - Central Campus Station,9:01 AM - 10:07 AM
Suspicious Circumstances,Trolley - La Jolla Health Station,11:00 AM - 11:15 AM
Disturbance,Parking Lot P017,11:42 AM
Fire Alarm,Shiley Eye Institute,12:56 PM
Suspicious Person,ACTRI,1:54 PM
Non Injury Collision,La Jolla Village Drive/Genesee Avenue,2:33 PM
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station (Bike Racks),2:00 PM - 6:00 PM
Information Report,Jacobs Medical Center,6:00 PM - 9:55 PM
Medical Aid,Koman Family Outpatient Pavilion,9:20 PM
Petty Theft - Micro Mobility Device,Jacobs Hall (Bike Racks),4:00 PM - 9:00 PM
Incomplete/Accidental Wireless 911 Call,La Jolla Village Drive,10:10 PM
Security Alarm,Leichtag Family Foundation Biomedical Research,10:56 PM
Petty Theft,Seventh College West #1 (Bike Racks),5:00 AM - 12:55 PM
Medical Aid,Trolley- La Jolla Health Station,12:07 AM
Noise Disturbance,Black Apartments,12:52 AM
Noise Disturbance,Seventh College East #1,1:08 AM
Citizen Contact,Muir Tennis Courts,3:39 AM
Collision With Injury,Warren Student Activity Center,9:12 AM
Assist Other Agency,Voigt Drive- Pepper Canyon Drive,9:45 AM
Fire Alarm,Café Ventanas,10:09 AM
Medical Aid,Sankofa,12:45 PM
Property Damage,Revelle Plaza,9:15 AM
Petty Theft,Price Center East,12:40 PM - 12:50 PM
Vandalism,Black's Beach Gate,Unknown
Campus Security Authority Report (CSA),UC San Diego,Unknown
Campus Security Authority Report (CSA),UCSD Residential Building,Unknown
Campus Security Authority Report (CSA),UCSD Residential Building,Unknown
Campus Security Authority Report (CSA),UCSD Residential Building,Unknown
Information Only Report,Design & Innovation Building,2:27 PM
Medical Aid,La Cuesta Drive,1:40 PM
Security Alarm,Student Services Center,1:43 PM
Medical Aid,Peterson Hall,2:42 PM
Welfare Check,Receiving & Distribution,2:59 PM
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Road,4:36 PM
Incomplete/ Accidental Landline 911 Call,Catalyst,4:50 PM
Incomplete/ Accidental Landline 911 Call,Geisel Library,4:50 PM
Welfare Check,"Irvine, California",5:04 PM
Medical Aid,Moores Cancer Center,6:16 PM
Noise Disturbance,Price Center East,6:21 PM
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Road/ Genesee Avenue,7:22 PM
Fire Alarm,Azad,8:31 PM
Grand Theft- Micro Mobility Device,Wells Fargo Hall,9:00 AM - 7:15 PM
Welfare Check,E Grand Avenue,9:01 PM
Grand Theft Report - Micro Mobility Device,Trolley- Central Campus Station,9:00 PM - 9:45 PM
Citizen Assist,South Parking Structure,11:30 PM
Suspicious Person,Mandell Weiss Theatre,11:32 PM
Suspicious Person,Justice Lane,12:01 AM
Medical Aid,Trolley - La Jolla Health Station,12:51 AM
Noise Disturbance,"One Miramar Street, Building 1",1:29 AM
Suspicious Injury Report,Paradise Point Beach,11:30 PM
Stay Away Order Issuance,Viento,3:14 AM
Information,Thornton Pavilion,7:13 AM
Medical Aid,Rebecca and John Moores Cancer Center,9:23 AM
Citizen Flagdown,Matthews Lane,10:06 AM
Petty Theft - Micro Mobility Device/ Possess Burglary Tools/ Stay Away Order Issuance,Trolley - Central Campus Station,10:00 AM - 1:02 PM
Incomplete/Accidental Wireless 911 Call,Regents Road,11:52 AM
Fire Alarm,Tioga Hall,12:14 PM
Reckless Driving,Rita/LJIC Footbridge,12:14 PM
Suspicious Person,Mayer Hall,12:42 PM
Person Down,La Jolla Village Drive/La Jolla Scenic Drive North,2:21 PM
Incomplete/Accidental Wireless 911 Call,TDLLN - Podemos,4:50 PM
Petty Theft,3453 Pepper Canyon Lane,4:35 PM - 5:35 PM
Incomplete/Accidental Landline 911 Call,Viento,5:52 PM
Hit & Run Collision - Non Injury,Hopkins Parking,2:30 PM - 5:30 PM
Citizen Assist,Mexico,7:13 PM
Medical Aid,Trolley - La Jolla Health Station,7:46 PM
Vandalism,Applied Physics & Mathematics,8:31 PM
Information,LAX,8:58 PM
Noise Disturbance,Marea,10:22 PM
Reckless Driving,Torrey Pines Gliderport - UCSD Campus,10:50 PM
Medical Aid,La Jolla Farms Road,10:56 PM
Drunk in Public,Black Gold Road,11:17 PM
Welfare Check,Capa,11:25 PM
Incomplete/Accidental Wirless 911 Call,Blake Hall,12:07 AM
Suspicious Person,Canyonview Rec/Athletics Administration,12:17 AM
Noise Disturbance,Revelle Plaza,2:04 AM
Noise Disturbance,Galathea Hall,3:01 AM
Non-Student Refuse to Leave University / Stay Away Order Issuance,Parking Lot P418,8:10 AM
Suspicious Circumstances,SIO Pier,8:23 AM
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,9:10 AM
Incomplete/Accidental Wireless 911 Call,Costa Verde Blvd.,9:25 AM
Medical Aid,Trolley - La Jolla Health Station,9:55 AM
Disturbance,Carlsbad Blvd.,10:58 AM
Incomplete/Accidental Landline 911 Call,High Bay Physics Laboratory,11:47 AM
Suspicious Person,"one Miramar Street, Building 1",12:50 PM
Information,"One Miramar Street, Building 2",1:40 PM
Incomplete/Accidental Wireless 911 Call,Epstein Family Amphitheater,1:50 PM
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,12:30 PM - 3:00 PM
Citizen Flagdown,Trolley - Central Campus Station,3:18 PM
Stay Away Order Issuance,Matthews Apartments D,3:23 PM
Welfare Check,Tierra,3:26 PM
Incomplete/Accidental Wireless 911 Call,TDLLN - Podemos,5:44 PM
Fire Alarm,Tapestry,8:04 PM
Sex Registrant: Fail to Register Change of Address,9800 Campus Point Drive,10:19 PM
Vandalism,64 Degrees,Unknown
Fire Alarm,Kaleidoscope,1:19 AM
Incomplete/Accidental Landline 911 Call,North Torrey Pines Road,1:35 AM
Security Alarm,Leichtag Family Foundation Biomedical Research,2:03 AM
Vandalism,Applied Physics & Mathematics,9:00 PM - 3:22 AM
Stay Away Order Issuance,Pepper Canyon Hall,4:22 AM
Trespass,Thornton Pavilion,5:47 AM
Vandalism,Black's Beach,Unknown
Preserve the Peace,Kaleidoscope,10:45 AM
Suspicious Person,Rya,12:50 PM
Citizen Contact,UCSD Police Department,1:18 PM
Mental Health Detention,Villa La Jolla/ VA Hospital - Bus Stop,1:41 PM
Shoplifting,Price Center West - Bookstore,3:00 PM - 3:10 PM
Incomplete/Accidental Wireless 911 Call,Campus Point Drive,3:53 PM
Triton CORE,Student Health & Wellness Center,4:17 PM
Welfare Check,La Jolla Shores Drive/North Torrey Pines Road,4:29 PM
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,6:50 PM
Incomplete/Accidental Wireless 911 Call,Thornton Pavilion,6:51 PM
Suspicious Person,Gilman Drive/Interstate 5 Overpass Bridge,9:54 PM
Citizen Contact,Croutons Restaurant,10:45 PM
Suspicious Vehicle,Central Mesa Apartments,11:07 PM
Suspicious Circumstances,Seventh College East #1,12:23 PM - 12:26 PM
Suspicious Person,Warren Student Activity Center,1:45 AM
Information,Geisel Library,6:04 AM
Noise Disturbance,Piedra,7:25 AM
Incomplete/Accidental Wireless 911 Call,Center Hall,8:16 AM
Found Property,64 Degrees,8:19 AM
Traffic Hazard,Interstate 5,8:36 AM
Incomplete/Accidental Landline 911 Call,Brisa,10:33 AM
Reckless Driving,Voigt Drive/Equality lane,11:17 AM
Medical Aid,Peterson Hall,12:18 PM
Suspicious Person,"Housing, Dining and Hospitality",1:27 PM
Injury,Trolley - Central Campus Station,1:30 PM
Suicide Attempt,Nobel Drive,1:56 PM
Petty Theft,Tdlln - Survivance,11:00 PM - 12:50 PM
Petty Theft,Seventh College,7:00 PM - 8:00 AM
Shoplifting,Price Center West - Bookstore,2:08 PM - 2:44 PM
Information Report,Social Sciences Building,6:22PM
Fire Alarm,Catalyst,3:17 PM
Injury,Chancellor House,5:04 PM - 5:29 PM
Petty Theft - Micro Mobility Device,Center Hall,4:00 PM-4:30 PM
Unknown Injury Collision,State Route 52,5:29 PM
Incomplete/Accidental Wireless 911 Call,Jacobs Medical Center,5:50 PM
Security Alarm,Campus Emergency Services,7:06 PM
Warrant Arrest,Trolley - Central Campus Station,7:16 PM
Illegal Camping,Skaggs Pharmaceutical Sciences Building,7:54 PM
Fire Alarm,Tdlln -Pulse,8:28 PM
Injury,Muir Field,8:31 PM
Incomplete/Accidental Landline 911 Call,Trolley - La Jolla Health Station,8:34 PM
Citizen Assist,Villa La Jolla Drive - Private Residence,9:08 PM
Noise Disturbance,Tapestry,11:08 PM
Incomplete/Accidental Landline 911 Call,South Parking Structure,11:28 PM
Noise Disturbance,Sankofa,12:04 AM
Party Disturbance,Kathmandu,12:21 AM
Suspicious Person,Tapioca Express,12:21 AM
Noise Disturbance,Latin America Hall,12:33 AM
Party Disturbance,Seventh College East #2,12:44 AM
Argument Disturbance,Sankofa,12:53 AM
Noise Disturbance,Argo Hall,2:20 AM
Burglary Alarm,Leichtag Biomedical Bldg.,2:56 AM
Incomplete/Accidental Wireless 911,Blake Hall,3:00 AM
Fire Alarm,Atkinson Hall,4:00
Assist Other Agency,Radiation Oncology Center,7:34
Fire Alarm,Kaleidoscope,10:18 AM
Report of Petty Theft - Micro Mobility Device,Triton Steps,6:50 AM - 12:00 PM
Report of Fraud,Piedra,12:16 PM
Report of Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,6:10 PM - 11:00 PM
Suspicious Person,Costa Verde Boulevard,1:13 PM
Fire Alarm,Atkinson Hall,1:42 PM
Psych Subject Disturbance,Regents Road/Regents Park Row,2:40 PM
Burglary Alarm,Leichtag Biomedical Bldg.,5:55 PM
Burglary Alarm,Registrar,6:07 PM
Suspicious Vehicle,Parking Lot P604,6:27 PM
Welfare Check,Thurgood Marshall Res Hall O,7:10 PM
Information,Warren Pump House,7:53 PM
Suspicious Vehicle,South Mesa Apartments,8:00 PM
Burglary Alarm,Leichtag Biomedical Bldg.,8:34 PM
Fire Alarm,Pulse,8:58 PM
Citizen Contact,Cala,10:04 PM
Citizen Contact,Exchange,10:09 PM
Fire Alarm,North America Hall,10:22 PM - 10:47 PM
Fire Alarm,Kaleidoscope,10:24 PM
Information,Medical Education and Telemedicine,10:58 PM
Noise Disturbance,North America Hall,12:03 AM
Alcohol Contact,Equality Lane,12:03 AM
Incomplete/Accidental Wireless 911 Call,Blake Hall,1:22 AM
Excessive Alcohol: Public Over Intoxication,Earth Hall - South,6:28 AM-7:06 AM
Trespass: Camping on UC Campus,Che Café,6:42 AM
Motor Vehicle Theft,Mesa Apartments - South,6:30 PM - 7:30 AM
Welfare Check,Vela,10:30 AM
Incomplete/Accidental Wireless 911 Call,La Jolla Village Drive,11:17 AM
Injury,Hopkins Parking,11:58 AM
Trespass: Camping on UC Campus/ Stay Away Order Issuance,University Center,12:47 PM
Illegal Parking,Science and Engineering Research,1:09 PM
Medical Aid,Rita Atkinson,4:27 PM
In Custody,Villa La Jolla Drive,4:42 PM
Fire Alarm,Tdlln - Azad,4:50 PM
Petty Theft,Campus Emergency Services Building,5:36 PM
Petty Theft,Scholars Drive,4:35PM-5:05PM
Injury,Lion tree Arena,7:34 PM
Petty Theft - Micro Mobility Device,Gilman Drive,1:28 PM-6:20 PM
Fire Alarm,Kaleidoscope,8:44 PM
Drunk Driving,Rita Atkinson,9:28 PM
Medical Aid,North America Hall,9:48PM-10:41PM
Noise Disturbance,Seventh College,11:07 PM
Alcohol Contact,Kathmandu House,11:27 PM
Illegal Camping,Mandell Weiss,11:52 PM
Petty Theft - Micro Mobility Device,Gilman Drive,1:28 PM-6:20 PM
Noise Disturbance,Asia Hall,12:05 AM
Noise Disturbance,Rya,12:55 AM
Medical Aid,Trolley- Central Campus Station,2:29 AM
Noise Disturbance,Cresta,2:56 AM
Information,Scripps Memorial Hospital,3:15 AM
Disturbance,Conrad Prebys Music Center,3:46 AM
Petty Theft,The Jeannie (Bathrooms Area),5:30 PM - 6:15 PM
Citizen Contact,Price Center East,4:43 AM
Citizen Flagdown,9781 Greenhouse Lane,5:56 AM
Security Alarm,Campus Curbside Pickup,6:16 AM
Collision With Injury,Mandeville Lane/ Gilman Drive,6:10 AM
Welfare Check,Discovery Way,6:24 AM
Security Alarm,Warren Lecture Hall,6:29 AM
Campus Security Authority Report (CSA),UCSD Residential Building,Unknown
Suspicious Vehicle,Voight Drive (West),8:51 AM
Fire Alarm,Astilla,9:22 AM
Fire Alarm,Price Center East,9:32 AM
Information,Thornton Pavilion,11:09 AM
Incomplete/ Accidental Wireless 911 Call,Genesee Avenue,12:05 PM
Medical Aid,Garden View Road,12:29 PM
Incomplete/ Accidental Wireless 911 Call,Genesee Avenue,1:17 PM
Incomplete/ Accidental Wireless 911 Call,Russell Lane/ Gilman Drive,3:42 PM
Suspicious Circumstances,Tuolumne Apartments,4:00 AM
"Disturbance, Psych Subject",La Jolla Village Drive/Villa La Jolla Drive (Off Campus),4:16 PM
Incomplete/ Accidental Landline 911 Call,Sun God,5:20 PM
Campus Security Authority Report (CSA),Pulse,2:00 AM - 5:00 AM
Incomplete/ Accidental Landline 911 Call,Mosaic,5:41 PM
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,6:00 PM
Medical Aid,Rita Atkinson Residences,6:41 PM
Marijuana Contact,Campus Emergency Services Building,6:47 PM
Security Alarm,Black Resource Center,7:15 PM
Medical Aid,Humanities And Social Sciences,7:26 PM
Fire Alarm,Sankofa On Scholars Drive South,8:47 PM
Incomplete/ Accidental Landline 911 Call,Mosaic,9:12 PM
Injury,RIMAC,9:45 PM - 10:50 PM
Missing Vehicle,Scholars Parking On Scholars Drive North,10:09 PM
Injury,Exploration Walk/ Ridge Walk,10:23 PM - 10:57 PM
Trespass: Non-Student Refusing to Leave University,Theatre District Parking,12:00 AM
Noise Disturbance,Neighborhood - Coast Apartments On Discovery Way/ Redwood Drive,10:36 PM
Excessive Alcohol: Over intoxication in Residence,Earth Hall North,10:53 PM
Alcohol Contact,Marshall Upper Apartments,10:59 PM
Information,Miramar Circle/ Mesa Lane,10:59 PM
Incomplete/ Accidental Wireless 911 Call,Charles David Keeling Apartments 2,11:10 PM
Petty Theft,UCSD Hospital Hillcrest,4:00 PM
Medical Aid,Marshall Upper Apartments M,12:01 AM
Stay Away Order Issuance,Charles David Keeling Apartments,12:06 AM - 12:43 AM
Citizen Contact,Charles David Keeling Apartments,1:01 AM
Noise Disturbance,Matthews Apartments E,1:10 AM
Vandalism,Parking Lot P701,1:35 AM
Security Alarm,Price Center West - Bookstore,5:59 AM
Disturbance,Villa La Jolla Drive/Gilman Drive (On Campus),6:14 AM
Incomplete/ Accidental Wireless 911 Call,Tioga Hall,8:02 AM
Suspicious Circumstances,Mesa Apartments Central,6:00 PM - 08:20 AM
Stay Away Order Issuance,Potiker Theater,9:35 AM
Petty Theft - Micro Mobility Device,Solis Hall,9:25 AM - 9:35 AM
Incomplete/ Accidental Wireless 911 Call,Campus Point Court,10:56 AM
Hazard Situation,Stein Clinical Research,10:58 AM
Information Only Report,Seventh College East #2,Unknown
Fraud,Viento On Miramar Street,12:37 PM
Annoying/ Harassing Phone Calls,Otterson Hall On Scholars Drive North,1:14 PM
Incomplete/ Accidental Wireless 911 Call,Thornton Pavilion On Campus Point Drive,2:25 PM
Collision With Injury,Tata Hall,3:23 PM - 4:17 PM
Animal Call,64 Degrees On Scholars Drive South,3:23 PM
Courtesy Report for Outside Agency: Fraud,"San Diego, California",Unknown
Welfare Check,TDLLN - Survivance,5:33 PM
Incomplete/ Accidental Wireless 911 Call,Artesa,5:43 PM
Security Alarm,Leichtag Family Foundation Biomed Research,7:12 PM
Information,Cala,7:43 PM
Citizen Contact,Campus Emergency Services Building,8:12 PM
Welfare Check,University of Maryland,8:57 PM
Injury,Wells Fargo Hall,9:20 PM - 9:43 PM
Grand Theft,Applied Physics & Mathematics,6:00 PM - 6:20 PM
Incomplete/ Accidental Wireless 911,Mesa Verde Hall,10:10 PM
Incomplete/ Accidental Landline 911 Call,Scholars Parking,10:24 PM
Fire Alarm,UCSD Medical Center - Hillcrest,2:00 AM
Welfare Check,Theatre District Parking,12:51 AM
Marijuana Contact,Rya,12:55 AM
Noise Disturbance,Rita Atkinson Residences,1:41 AM
Information,Trolley - Central Campus Station,7:02 AM
Information,Trolley - Central Campus Station,7:10 AM
Security Alarm,Black Resources Center,8:02 AM
Illegal Camping,Torrey Pines Center South,8:35 AM
Battery - Simple Assault,Mandeville Lane/ Gilman Drive,10:50 PM - 12:00 AM
Fire Alarm,Tapestry,11:45 AM
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,11:58 AM
Medical Aid,Jacobs Medical Center,12:29 PM
Welfare Check,Skaggs Pharmaceutical Science Building,1:12 PM
Found Property,Price Center West - The Trove,1:23 PM
Citizen Contact,UCSD Police Department,1:30 PM
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,2:14 PM
Incomplete/Accidental Landline 911 Call,Kaleidoscope,2:36 PM
Suspicious Vehicle,Parking Lot P508,2:40 PM
Vandalism,Theatre District Parking,12:00 PM - 8:00 AM
Vehicle Disturbance,Interstate 5 Southbound/ La Jolla Village Drive,3:42 PM
Welfare Check,Center Hall,4:00 PM
Grand Theft,Mosaic,3:30 PM - 8:00 AM
Marijuana Contact,Ola Parking,4:13 PM
Incomplete/Accidental Wireless 911 Call,Thornton Pavilion,4:25 PM
Petty Theft,McGill Hall,1:00 PM - 1:00 PM
Smoke Check,Tapestry,5:01 PM
Petty Theft - Micro Mobility Device,Pepper Canyon South Laundry,5:00 PM -5:30 PM
Information,Seventh College East #1,5:42 PM
Shoplifting,Price Center West - Target,5:51 PM
Disturbance,Thurgood Marshall,6:05 PM
Incomplete/Accidental Wireless 911 Call,Gilman Drive,6:13 PM
Suspicious Vehicle,Parking Lot P704,6:23 PM
Security Alarm,Student Services Center,6:26 PM
Injury,Rimac Field,7:48 PM
Traffic Hazard,Gilman Drive/La Jolla Village Drive Ramp,8:46 PM
Suspicious Person,Redwood Drive,9:12 PM
Fire Alarm,Tenaya Hall,9:56 PM
Grand Theft,Bates Hall - Basketball Courts,10:30 PM - 10:40 PM
Excessive Alcohol,Seventh College West #2,11:09 PM - 11:57 PM
Noise Disturbance,Argo Hall,12:44 AM
Incomplete/Accidental Wireless 911 Call,Podemos,1:03 AM
Security Alarm,Campus Curbside Pickup,6:20 AM
Fire Alarm,Mosaic,10:00 AM
Medical Aid,Koman Family Outpatient Pavilion,11:21 AM
Incomplete/Accidental Wireless 911 Call,Genesee Avenue,11:30 AM
Medical Aid,Price Center East,12:09 PM
Excessive Alcohol; Public Overintoxication,Seventh College West #1,12:33 PM
Report of Fraud,Thurgood Marshall Res Hall Q,12:00 AM - 12:00 AM
Petty Theft,Peterson Hall,9:00 PM - 1:08 PM
Petty Theft,Scholars North Parking Structure,Unknown
Hit and Run Injury Collision,Campus Emergency Services Building,1:45 PM - 2:05 PM
Incomplete/Accidental Landline 911 Call,3344 North Torrey Pines Court,4:25 PM
Petty Theft,Cala,4:10 PM - 4:15 PM
Petty Theft - Micro Mobility Device,Pepper Canyon West Vela,5:30 PM - 7:30 PM
"Disturbance, Psych Subject",UCSD Residential Area,4:59 PM
Fire Alarm,Pulse,5:01 PM
Incomplete/Accidental Wireless 911 Call,Douglas Hall,5:28 PM
Security Alarm,Leichtag Family Foundation Biomedical Research,7:06 PM
Incomplete/Accidental Landline 911 Call,Brisa,7:08 PM
Welfare Check,Russel Lane,8:25 PM
Incomplete/Accidental Wireless 911 Call,Pepper Canyon Hall,8:47 PM
Incomplete/Accidental Wireless 911 Call,Mayer Hall,10:46 PM
Noise Disturbance,Stewart Hall,11:03 PM
Harrassment/ Attempted Assault,UCSD Medical Center East Campus,2:30 PM
Incomplete/Accidental Landline 911 Call,Blake Hall,12:12 AM
Welfare Check,Tuolumne Apartments,3:51 AM
Suspicious Person,Parking Lot P406,4:41 AM
Suspicious Person,Design and Innovation Building,8:44 AM
Burglary,Engineering Building Unit II,5:31 PM - 3:26 PM
Information,Voigt Drive West,9:35 AM
Incomplete/Accidental Landline 911 Call,Catalyst,10:23 AM
Vandalism,Urey Hall,Unknown
Fire Alarm,TDLLN - Podemos,11:49 AM
Petty Theft - Micro Mobility Device,Peterson Hall,9:37 AM - 10:41 AM
Property Damage,University Center Lane,11:00 AM
Medical Aid,Birch Aquarium at Scripps,2:05 PM
Gas/Water/Sewer Leak,Jacobs Hall,2:52 PM
Medical Aid,Garden View Road,2:56 PM
Information Only Report,Rita Atkinson Residences,4:49 PM - 6:04 PM
Reckless Driving,North Torrey Pines Road/Genesee Avenue,5:11 PM
Triton CORE,Thurgood Marshall Res Hall R,5:12 PM
