crime_type,location,time
Report Of Petty Theft- Micro Mobility Device,Geisel Library,4:00 PM - 3:50 PM
Report Of Petty Theft- Micro Mobility Device,Trolley- Central Campus Station On Innovation Lane,7:30 pm - 10:30PM
Noise Disturbance,Goldberg Apartments On Equality Lane,11:43 PM
UCSD Hillcrest,Bike Theft,11/2/2024
Noise Disturbance,Stewart Hall,12:15 AM
Citizen Assist,Pangea Drive,12:45 AM
Incomplete/Accidental Landline 911 Call,Kaleidoscope,12:47 AM
Party Disturbance,Tdlln - Podemos,1:05 AM
Incomplete/Accidental Landline 911 Call,Kaleidoscope,2:15 AM
Incomplete/Accidental Landline 911 Call,Kaleidoscope,2:31 AM
Medical Aid,Tapestry,2:39AM-3:11AM
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,7:45 AM
Information,Parking Lot P506,8:31 AM
Incomplete/Accidental Wireless 911 Call,Russell Lane,8:43 AM
Grand Theft,Price Center Plaza,9:13 AM
General Disturbance,Rya,10:27 AM
Noise Disturbance,Pangea Parking,11:42 AM
Incomplete/Accidental Wireless 911 Call,Gilbert Drive,11:49 AM
Incomplete/Accidental Wireless 911 Call,Thornton Pavilion,12:35 PM
Animal Call,Birch Aquarium,12:35 PM
Suspicious Person,Muir Quad,12:39 PM
Incomplete/Accidental Landline 911 Call,John's Place and Market,1:22 PM
General Disturbance,One Miramar Street,1:48 PM
General Disturbance,Muir Field,3:48 PM
General Disturbance,Muir Field,3:52 PM
General Disturbance,Tdlln - Pulse,4:05 PM
Incomplete/Accidental Landline 911 Call,Brisa on Miramar Street,4:32 PM
Suspicious Person,Seventh College West,6:03 PM
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,6:17 PM
Incomplete/Accidental Landline 911 Call,Astilla on Miramar St,6:56 PM
Welfare Check,Vela on Gilman Drive,6:57 PM
Property Damage,Seventh College West,7:05PM-7:32PM
Incomplete/Accidental Landline 911 Call,Student Health and Wellness,8:12 PM
Incomplete/Accidental Wireless 911 Call,Parking lot P415,9:08 PM
Attempt to Contact,Blake Hall,9:55 PM
Hazard Situation,Campus Point Drive,10:22 PM
Attempt to Contact,Muir Lane,11:45 PM
Tamper with Fire Alarm,Scholars Parking,11:52PM-12:42AM
Noise Disturbance,Scholars Drive,11:53 PM
Petty Theft - Micro Mobility Device,Central Campus,8:00AM-3:00PM
Noise Disturbance,Marshall Upper Apartments J,12:11 AM
Party Disturbance,Seventh College West #3,12:19 AM
Drunk in Public,Seventh College West #3,12:32 AM
Welfare Check,Vela,12:53 AM
Welfare Check,Roots,1:01 AM
Traffic Hazard,La Jolla Village/Interstate 5 North bound,1:22 AM
Noise Disturbance,Middle East Hall,2:01 AM
Citizen Contact,Warren Lawn,3:04 AM
Noise Disturbance,Brennan Hall,4:11 AM
Trespass,Price Center East,4:38 AM
Burglary Alarm,Isaacs Hall,6:38 AM
Suspicious Vehicle,Munk House,7:00 AM
Welfare Check,Stein Clinical Research Bldg.,7:24 AM
Incomplete/Accidental Landline 911,Mosaic,7:58 AM
Reckless Driving,Regents Road,8:07 AM
Incomplete/Accidental Landline 911,Design and Innovation Building,9:55 AM
Report of Hit and Run - No Injuries,Jacobs Medical Center,10:08 AM
Injury,Scholars Drive North/Exploration,11:18 AM
Injury,Scholars Drive North/Exploration,11:24 AM
Psych Subject Disturbance,Price Center East,11:52 AM
Incomplete/Accidental Landline 911,Scholars Parking Structure,12:04 PM
Welfare Check,Pangea Parking Structure,12:19 PM
Medical Aid,Price Center West,12:21 PM
Welfare Check,Tuolumne Apartments,12:33 PM
Fire Alarm,Arena,1:21 PM
Report of Hit and Run - No Injuries,Torrey Pines Gliderport,1:30 PM
Report of Petty Theft - Micro Mobility Device,Triton Statue,7:00 PM - 8:40 PM
Triton CORE,Campus Emergency Services Building,2:51 PM
Medical Aid,Rebecca and John Moores Cancer Center,4:04 PM
Report of Petty Theft,Douglas Hall,4:38 PM
Suspicious Vehicle,Parking Lot P016,4:47 PM
Incomplete/Accidental Wireless 911,Veterans Affairs Medical Center,4:51 PM
Medical Aid,Nobel Drive,5:29 PM
Medical Aid,Lyman Lane,5:58 PM
Criminal Threat,Rya,8:19 PM
Injury,Marshall Upper Apartments G,8:59 PM
Citizen Contact,Kaleidoscope,10:25 PM
Attempt to Contact,Rita Atkinson Residences,10:38 PM
Party Disturbance,Kaleidoscope,10:52 PM
Suspicious Person,Cala,10:49 PM
Citizen Contact,Cala,11:01 PM
Report of Petty Theft - Mirco Mobility Device,Blake Hall,8:30 PM - 12:00 AM
Report of Petty Theft - Micro Mobility Device,Beagle Hall,5:00 AM - 5:40 AM
Report of Petty Theft - Micro Mobility Device,Geisel Library,4:00 PM - 3:50 PM
Medical Aid,Seventh College West,12:19 AM
Medical Aid,Brown Hall,1:08 AM
Noise Disturbance,Viento,2:22 AM
Noise Disturbance,Argo Hall,2:49 AM
Trespass,Price Center East On Matthews Lane,4:07 AM
Security Alarm,GPS On Russell Lane,6:16 AM
Incomplete/ Accidental Wireless 911,Vela On Gilman Drive,6:30 AM
False Alarm,Tenaya Hall,8:17 AM
Fraud,Cala AT Miramar Street,Unknown
Welfare Check,Tapestry On Scholars Drive North,9:20 AM
Assist Other Agency,Gilman Drive/ Russell Lane,9:39 AM
Incomplete/ Accidental Wireless 911 Call,Peterson Hall On Muir Lane,10:55 AM
Hit & Run Collision,One Miramar Street,12:38 PM
Report Of Gang Or Terrorist Threat,Student Services Center On Russell Lane,12:57PM - 14:29PM
Vandalism,Torrey Pines Center South,10:00 AM - 10:00 AM
Incomplete/ Accidental Wireless 911 Call,Medical Center Switching Station,1:22 PM
Incomplete/ Accidental Wireless 911 Call,Powell-Focht Bioengineering Hall,2:01 PM
Minor Injury Collision,Atkinson Hall On Voigt Drive,2:20 PM
Non Injury Collision,George Palade Laboratories,2:37 PM
Security Alarm,Student Health & Wellness Center,3:12 PM
Information Only,UC San Diego Campus,3:18 PM
Minor Injury Accident,Parking Lot P112,8:50 AM
Simple Assault,UCSD Alvarado Road,9:00 PM
Security Alarm,Powell-Focht Bioengineering Hall,4:15 PM
Trespass,Matthews Lane / Voigt Drive,4:25 PM
Security Alarm,Student Services Center,4:52 PM
Tampering With A Vehicle,Campus Point Parking West,3:45 PM - 5:30 PM
Citizen Flag down,Cuzco House,5:37 PM
Information,Gilman Drive/ Library Walk,5:43 PM
Medical Aid,Black's Beach On Blacks Beach Way,6:09 PM
Security Alarm,Communication Building On Exploration Drive,6:50 PM
Suspicious Person,La Jolla Del Sol Apartments,7:10 PM
Suspicious Vehicle,Pangea Parking,7:36 PM
Incomplete/ Accidental Landline 911,Catalyst On Scholars Drive North,8:12 PM
Fire Alarm,Pulse On Scholars Drive South,9:48 PM
Suspicious Person,Rita Atkinson Residences,10:00 PM
Citizen Contact,Cala At Miramar Street,10:05 PM
Incomplete/ Accidental Wireless 911,Robinson Building 2,10:12 PM
Citizen Contact,Sankofa On Scholars Drive South,10:12 PM
Alcohol Contact,Tapestry,10:26 PM
Alcohol Contact,Brennan Apartments,10:30 PM
Possession Of Marijuana,Tamarack Apartments,10:45 PM
Noise Disturbance,Charles David Keeling Apartments,11:12 PM
Noise Disturbance,Latin America Hall,11:15 PM
Party Disturbance,Seventh College West,11:27 PM
Welfare Check,Sankofa On Scholars Drive South,23:44 PM - 12:31 AM
General Disturbance,Price Center On Lyman Walk,11:57 PM
Citizen Contact,Vela At Gilman Drive,11:59 PM
Simple Assault,UCSD Medical Center - Hillcrest,5:00 PM
Information,Tapestry,12:09 AM
Injury,Pepper Canyon Apartments 400,4:58 AM
Illegal Camping,Neighborhood - SIO,6:50 AM
Information,Astilla,7:35 AM
Traffic Hazard,Downwind Way/Expedition Way,7:38 AM
Information,Parking Lot P785,8:24 AM
Non-Injury Accident,Theatre District Parking Structure,8:24 AM
Medical Aid,Shiley Eye Center,10:28 AM
Panic/Silent Alarm,ERC Administration North,10:33 AM
Medical Aid,Applied Physics and Mathematics,12:07 PM
Campus Security Authority Report (CSA),Pepper Canyon East,Unknown
Non-Injury Accident,Igpp - Munk Laboratory,1:00 PM
Citizen Contact,Campus Emergency Services Building,1:18 PM
Suspicious Person,Cognitive Sciences Building,5:16 PM
Fire Alarm,Pepper Canyon Apartments 100,5:50 PM
Psych Subject Disturbance,Trolley - La Jolla Health Station,6:08 PM
Traffic Hazard,Genesee Avenue/Campus Point Drive,6:30 PM
Report of Grand Theft - Micro Mobility Device,Club Med,2:00 PM - 7:00 PM
Report of Petty Theft - Micro Mobility Device,Target,5:00 PM - 6:45 PM
Medical Aid,George Palade Laboratories for CMMW,7:29 PM
Medical Aid,Rebecca and John Moores Cancer Center,8:12 PM
Campus Security Authority Report (CSA),W Arbor Drive,7:45 PM
Incomplete/Accidental Landline 911,Design and Innovation Building,8:21 PM
Welfare Check,Design and Innovation Building,10:09 PM
Citizen Contact,Cala,10:10 PM
Possession of Marijuana,Charles David Keeling Apartments 3,10:36 PM
Found Property,Tierra,10:58 PM
Medical Aid,Africa hall,11:13 PM
Welfare Check,Tamarack Apartments,11:14 PM
Information,Mandeville Center,11:58 PM
Noise Disturbance,North America Hall,11:59 PM
Noise Disturbance,TDLLN - Sankofa,12:32 AM
Noise Disturbance,TDLLN - Sankofa,12:32 AM
Medical Aid,Tapestry,12:49 AM
Noise Disturbance,Middle East Hall,1:04 AM
Noise Disturbance,Meteor Hall,1:56 AM
Noise Disturbance,Parking Lot P504,2:10 AM
Domestic Violence Assault/ Vandalism,UCSD Residential Area,2:39 AM - 3:09 AM
Petty Theft - Micro Mobility Device,Parking Lot P602,6:00 AM - 6:30 AM
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Road,9:07 AM
Medical Aid,Genesee Avenue,9:42 AM
Information Only Report,UCSD Risk Management,9:48 AM
Petty Theft,8614 Kennel Way - Lifeguard Tower,7:20 AM - 8:10 AM
Welfare Check,ACTRI,10:36 AM
Incomplete/ Accidental Landline 911 Call,Viento,1:15 PM
Petty Theft,Vela,Unknown
Welfare Check,Science & Engineering Research Facility,1:56 PM
Suspicious Person,Library Walk,2:22 PM
Welfare Check,Student Services Center,3:00 PM
Welfare Check,Trolley- La Jolla Health Station,3:06 PM
Suspicious Person,Gilman Parking,3:17 PM
Incomplete / Accidental Wireless 911 Call,Solis Hall,3:23 PM
Welfare Check,Preuss School,4:20 PM
Injury,Main Gymnasium,4:45 PM
Petty Theft - Micro Mobility Device,Main Gymnasium,3:30PM - 3:55 PM
Grand Theft / Vandalism,Trolley- Central Campus Station,7:00 PM - 5:11 PM
Medical Aid,Trolley-La Jolla Health Station,5:37 PM
Information,UC San Diego Campus,5:45 PM
Petty - Micro Mobility Device,Pepper Canyon Apartments,3:15 PM - 5:20 PM
Fraud,3869 Miramar Street,12:53 PM - 6:21 PM
Fire Alarm,TDLLN - Survivance,7:16 PM
Suspicious Person,Social Sciences Building,7:24 PM
Petty Theft - Micro Mobility Device,Pepper Canyon East Apartments,Unknown
Incomplete/ Accidental Wireless 911 Call,Marshall Upper Apartments,8:30 PM
Petty Theft- Micro Mobility Device,Price Center West - Starbucks,8:15 PM - 8:45 PM
UC Policy Violation,Tapestry,9:20 PM
Vandalism To Vehicle,Pangea Parking Lot,2:00 PM - 3:30 PM
Quiet Hours Contact,Kaleidoscope - Basketball Courts,11:08 PM
Noise Disturbance,Seventh College West #6,11:18 PM
Welfare Check,Parking Lot P702,11:27 PM
Mental Health Detention,Price Center West,11:45 PM - 12:35 AM
Welfare Check,Canyon Vista,11:57 PM
Theft,UCSD Medical Center - Hillcrest,3:40 PM
Noise Disturbance,Viento,12:56 AM
Suspicious Person,Pepper Canyon North Laundry,1:28 AM
Noise Disturbance,Catalyst,1:56 AM
Information,Tioga Hall,1:57 AM
Medical Aid,Brennan Hall,2:45 AM
Suspicious Person,Parking Lot P402,3:51 AM
Campus Security Authority Report (CSA),Thornton Pavilion,3:30 AM
Disturbance,Mandeville Center,7:26 AM
Medical Aid,Rebecca and John Moores Cancer Center,8:44 AM
Fire Alarm,Survivance,9:05 AM
Lost Property,Rebecca and John Moores Cancer Center,9:20 AM
Psych Subject Disturbance,Survivance,9:44 AM
Medical Aid,Radiation Oncology Center,10:43 AM
Report - Non Crime,Scholander Hall,10:57 AM
Found Property,Geneva Hall,11:15 AM
Incomplete/Accidental Wireless 911,Genesee Avenue,11:16 AM
Illegal Parking,Pharmacy Lane,11:41 AM
Incomplete/Accidental Wireless 911,Genesee Avenue,12:13 PM
Incomplete/Accidental Wireless 911,Genesee Avenue,12:14 PM
Citizen Contact,UCSD Police Department,12:23 PM
Petty Theft - Micro Mobility Device,Campus Emergency Services Building,3:00 PM - 9:00 AM
Incomplete/Accidental Wireless 911,Genesee Avenue,12:47 PM
Campus Security Authority Report (CSA),Graduate & Family Housing,Evening
Incomplete/Accidental Wireless 911,Design and Innovation Building,1:02 PM
Citizen Assist,Library Walk,1:08 PM
Incomplete/Accidental Landline 911,Catalyst,1:22 PM
Report - Non Crime,Pharmacy Lane,2:30 PM - 6:00 AM
Report - Non Crime,Fleet Services,1:28 PM
Incomplete/Accidental Wireless 911,Regents Road/Regents Park Row,2:19 PM
Report of Petty Theft - Micro Mobility Device,Center Hall,2:00 PM - 2:45 PM
Welfare Check,Rita Atkinson Residences,6:46 PM
Petty Theft - Micro Mobility Device,Mandeville Center,2:00 PM - 3:20 PM
Incomplete/Accidental Wireless 911,Regents Road/Regents Park Row,3:33 PM
Incomplete/Accidental Wireless 911,Russell Lane/Gilman Drive,3:55 PM
Incomplete/Accidental Wireless 911,North Torrey Pines Road,3:55 PM
Citizen Assist,Marine Conservation and Technology Facility,4:45 PM
Injury,Pangea Parking Structure,5:04 PM
Incomplete/Accidental Landline 911,Theatre District Parking Structure,5:26 PM
Incomplete/Accidental Landline 911,Mosaic,5:30 PM
Petty Theft - Bicycle,Catalyst,6:00 PM - 5:15 PM
Fire Alarm,Sankofa,6:45 PM
Petty Theft,Rimac,7:03 PM
Petty Theft - Micro Mobility Device,Sally T. Wongavery Library,5:40 PM - 7:40 PM
Petty Theft - Micro Mobility Device,Harlan Hall,3:00 PM - 4:50 PM
Welfare Check,Rita Atkinson Residences,9:26 PM
Missing Person,Survivance,11:06 PM
Petty Theft,Rimac,3:30 PM - 4:00 PM
Petty Theft - Bicycle,Stewart Hall,7:20 PM - 12:05 PM
Noise Disturbance,Brisa,12:12 AM
Medical Aid,North America Hall,12:15 AM
Drunk Driving No Injuries,North Torrey Pines Road,12:41 AM
Citizen Contact,Piedra,12:44 AM
Noise Disturbance,Sankofa,1:12 AM
Incomplete/Accidental Landline 911,Kaleidoscope,2:20 AM
Noise Disturbance,Survivance,2:51 AM
Citizen Contact,Ridge Walk Academic Building,7:58 AM
Information,Tioga Hall,11:11 AM
Petty Theft,Scholars Parking Structure,11:46 AM
Disturbance,La Jolla Village Drive,12:04 PM
Sexual Battery,Rya,12:00 AM
Fire Alarm,Kaleidoscope,2:07 PM
Incomplete/Accidental Wireless 911,Atkinson Hall,2:28 PM
Fire Alarm,Argo Hall,3:40 PM
Illegal Parking,Rita Atkinson Residences,3:49 PM
Noise Disturbance,Galbraith Hall,3:58 PM
Welfare Check,Wells Fargo Hall,5:01 PM
Fire Alarm,Preuss School,5:15 PM
Suspicious Person,Torrey Pines Gliderport,6:03 PM
Petty Theft - Micro Mobility Device,Social Sciences Bldg.,9:40 AM - 6:40 PM
Petty Theft - Micro Mobility Device,Pulse,12:00 AM - 5:30 PM
Incomplete/Accidental Landline 911 Call,Survivance,6:58 PM
Suspicious Person,Roger's Place and Market,7:34 PM
Incomplete/Accidental Landline 911,Regents Road/Regents Park Row,7:56 PM
Injury,Black Gold Road,8:11 PM
Incomplete/Accidental Wireless 911,Regents Park Row/Regents Road,8:15 PM
Incomplete/Accidental Wireless 911,Rubicon Deli,8:25 PM
Incomplete/Accidental Landline 911 Call,Black Gold Road,8:32 PM
Suspicious Person,Trolley - Central Campus Station,9:43 PM
Noise Disturbance,Piedra,9:52 PM
Citizen Contact,Cala,10:01 PM
Noise Disturbance,Capa,11:29 PM
Injury,Rita Atkinson Residences,11:43 PM
Noise Disturbance,Brisa,11:50 PM
Noise Disturbance,Cala,11:52 PM
Petty Theft,Center Hall,10:13 PM - 11:40 AM
Medica Aid,Rya,12:04 AM
Disturbance - Party,Piedra,12:09 AM
Incomplete/Accidental Wireless 911 Call,Poole Street,12:17 AM
Medical Aid,Stewart Hall,12:30 AM
Welfare Check,Rita Atkinson Residences,1:16 AM
Noise Disturbance,TDLLN - Pulse,1:26 AM
Noise Disturbance,Marshall Upper Apartments M,1:53 AM
Disturbance,Parking Lot P602,6:28 AM
Disturbance,Trolley - VA Medical Center Station,8:29 AM
Information,Thornton Pavilion,9:13 AM
Security Alarm,Isaacs Hall,9:54 AM
Citizen Flagdown,Scholars Parking,10:48 AM
Illegal Parking,Ola Parking,11:09 AM
Security Alarm,Biomedical Sciences Building,12:28 PM
Stay Away Order Issuance,The Market at Seventh College East,1:45 PM
Information,Charles David Keeling Apartments 1,2:08 PM
Petty Theft - Micro Mobility Device,Applied Physics and Mathematics,12:50 PM - 2:20 PM
Petty Theft - Micro Mobility Device,3350 Innovation Lane,10:00 PM - 2:00 PM
Medical Aid,La Jolla Family House,4:30 PM
Injury,La Jolla Village Drive/Lebon Drive,4:51 PM
Citizen Contact,Greenhouse Lane,5:33 PM
Reckless Driving,Porton,5:55 PM
Welfare Check,Tuolumne Apartments,5:58 PM
Security Alarm,Leichtag Family Foundation Biomedical Research,6:29 PM
Fire Alarm,Tapestry,6:46 PM
Fire Alarm,Tapestry,7:27 PM
Information Only Report,East Medical Center Drive/Athena Circle,10:28 PM - 9:15 PM
Incomplete/Accidental Wireless 911 Call,Parking Lot P106,9:04 PM
Noise Disturbance,Brisa,9:57 PM
Injury,TDLLN - Azad,10:06 PM
Incomplete/Accidental Wireless 911 Call,Tierra,10:24 PM
Citizen Contact,Kaleidoscope,10:33 PM
Disturbance - Party,Canyonn Vista,10:53 PM
Alcohol Contact,Kaleidoscope,11:07 PM
Noise Disturbance,TDLLN - Pulse,12:27 AM
Security Alarm,Isaacs Alarm,1:43 AM
Noise Disturbance,Capa,1:55 AM
Security Alarm,ERC Administration North,3:35 AM
Disturbance - Fireworks,Rita Atkinson Residences,5:29 AM
Security Alarm,Campus Curbside Pickup,6:15 PM
Security Alarm,Environmental Management Facility,6:23 AM
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Road,8:07 AM
Incomplete/ Accidental Wireless 911 Call,Scholars Lane,8:51 AM
Medical Aid,Price Center East,9:07 AM
Rape,UCSD Residential Area,Unknown
Suspicious Circumstances,Naga Way/ La Jolla Shores Drive,11:20 AM
Incomplete/ Accidental Wireless 911 Call,Argo Hall,12:04 PM
Welfare Check,Price Center West - Target,12:28 PM
Citizen Contact,Unknown - Off Campus Location,1:02 PM
Incomplete/ Accidental Wireless 911 Call,Preuss School,1:28 PM
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Court,1:32 PM
Citizen Flagdown,Voigt Drive/ Equality Lane,2:00 PM
Incomplete/ Accidental Landline 911 Call,Tapestry,2:16 PM
Information,North Torrey Pines Road/ La Jolla Village Drive,2:36 PM
Welfare Check,Gilman Parking On Russell Lane,3:32 PM
Suspicious Person,Marea,4:10 PM
Grand Theft- Micro Mobility Device,Gilman Drive,10:00 AM - 2:50 PM
Suspicious Person,TDLLN - Pulse,4:23 PM
Identity Theft,Mandeville Art Gallery,4:45 PM
Grand Theft- Micro Mobility Device,Podemos Building,2:00 PM - 2:40 PM
Incomplete/ Accidental Landline 911 Call,Design And Innovation Building On Innovation Lane,4:52 PM
Reckless Driving,Rita Atkinson Residences,5:05 PM
Vandalism,Geisel Library,6:00 PM
Injury,Blake Hall On Scholars Drive South,6:16 PM
Medical Aid,Africa Hall,6:44 PM
Incomplete/ Accidental Landline 911 Call,Design & Innovation Building,7:08 PM
Fire Alarm,Artesa,7:34 PM
Fire Alarm,TDLLN - Pulse,7:47 PM
Incomplete/ Accidental Wireless 911 Call,Viento,7:52 PM
Extortion,Brisa,12:00 PM - 10:20 PM
Petty Theft- Micro Mobility Device,York Hall,7:15 PM - 7:50 PM
Welfare Check,Trolley- La Jolla Health Station,8:18 PM
Fire Alarm,Seventh College West,8:26 PM
Suspicious Person,Geisel Library,9:16 PM
Alcohol Contact,Tapestry,10:04 PM
Contempt of Court: Disobey Court Order/ Warrant Arrest,North Torrey Pines Rd/ Genesee Avenue,10:33 PM
Citizen Contact,Neighborhood - ECEC/MDCD,11:10 PM
Citizen Contact,JK Woods Lounge,11:18 PM
Noise Disturbance,Brisa,11:56 PM
Noise Disturbance,Rita Atkinson Residences,12:12 AM
Voluntary Psych Referral,UCSD Residential Area,12:28 AM - 12:5 1AM
Security Alarm,Porton,12:32 AM
Noise Disturbance,Seventh College West #6,1:36 AM
Grand Theft,York Hall,12:15AM-12:30AM
Information,East Campus Utilities Plant,6:48 AM
Welfare Check,Roger's Place and Market,7:15 AM
Suspicious Vehicle,Torrey Pines Glider port,9:26 AM
Suspicious Person,Goldberg Apartments,9:36 AM
Information,Geisel Library,9:36 AM
Triton Core,Student Health and Wellness Center,10:13 AM
Incomplete/Accidental Wireless 911 Call,Genesee Avenue,10:13 AM
Incomplete/Accidental Landline 911 Call,Mosaic on Scholars,10:56 AM
Incomplete/Accidental Landline 911 Call,Viento on Miramar Street,11:08 AM
Incomplete/Accidental Wireless 911 Call,East Campus Substation,11:23 AM
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,11:24 AM
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,11:52 AM
Incomplete/Accidental Wireless 911 Call,Birch Aquarium,11:54 AM
Assist Other Agency,Parking Lot P206,11:58 AM
Hazard Situation,Mesa Park Court,12:57 PM
Information,Rosecrans Street,1:12 PM
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,1:17 PM
Annoying/Threatening Telephone Calls,Tioga Hall,1:00 PM - 12:47 AM
Incomplete/Accidental Wireless 911 Call,Torrey Pines Road,1:28 PM
Panic/Silent Alarm,Russell Lane,1:30 PM
Triton Core,Kaleidoscope on Scholars Drive,1:57 PM
Suspicious Circumstance,Center Hall,2:21 PM
Citizen Contact,Black Apartments,3:51 PM
Incomplete/Accidental Wireless 911 Call,Regents Road,4:11 PM
Welfare Check,University Center,4:31 PM
Security Alarm,Central Utilities Plant,5:29 PM
Campus Security Authority Report (CSA),Jacobs Medical Center,6:40 PM
Suspicious Person,Ridge Walk,6:58 PM
Injury,Center Hall,7:04 PM - 7:29 PM
Fire Alarm,Tdlln - Azad,7:40 PM
Domestic Dispute Incident,UCSD Residential Area,9:03 PM - 9:36 PM
Petty Theft,Price Center West,10:18 PM
Suspicious Person,Trolley - La Jolla Health Station,11:07 PM
Noise Disturbance,Stewart Hall,11:24 PM
Incomplete/Accidental Landline 911 Call,Viento,12:14 AM
Noise Disturbance,Gilman Parking,12:20 AM
Illegal Camping,Mesa Canyon Parking Structure,5:47 AM
Property Damage,Marine Conservation and Technology Facility,6:30 AM
Petty Theft,ERC Laundry East,10:00 PM - 11:59 PM
Information,"Lakeside, California",10:33 AM
Petty Theft,"One Miramar Street, Building 2",10:15PM-10:15AM
Fire Alarm,Tdlln - Pulse,11:21 AM
Welfare Check,Gilman Drive/Pepper Canyon Drive,11:23 AM
Medical Aid,Nobel Drive,12:09 PM
Information,Argo Hall,12:16 PM
Grand Theft - Micro Mobility Device/ Obstruct Peace Officer/ Drug Law Violations,York Hall,12:29PM
Incomplete/Accidental Landline 911 Call,Kal on Scholars,1:05 PM
Collision with injury,Social Sciences Building,1:41 PM
Illegal Vendor/Soliciting,Marshall Upper Apartments,1:58 PM
Petty Theft,Wells Fargo Hall,12:25 PM - 1:55 PM
Disturbance,Theatre District Drive,2:09 PM
Petty Theft,Trolley - Central Campus Station,10:00 AM - 3:30 PM
Hit & Run Collision: Non Injury,Scholars Drive North/ Hopkins Drive,10:00 PM
Found Property,United States/Mexican Boarder,3:46 PM
Reckless Driving,Parking Lot P309,4:12 PM
Petty Theft - Micro Mobility Device,Pepper Canyon Hall,11:50 AM-12:50 PM
Traffic Hazard,La Jolla Village,5:38 PM
Found Property,Design and Innovation Building,6:52 PM
Grand Theft - Micro Mobility Device,Warren Lecture Hall,6:00 PM-6:52 PM
Petty Theft - Micro Mobility Device,Pepper Canyon Hall,12:30 AM-1:30 AM
Marijuana Contact,Porton,7:47 PM
Fire Alarm,Tdlln - Sankofa,7:48 PM
Missing Vehicle,Miramar Street,8:26 PM
Injury,Capa,1:00PM-1:15PM
Incomplete/Accidental Landline 911 Call,Catalyst,8:43 PM
Noise Disturbance,Rita Atkinson,11:04 PM
Noise Disturbance,Catalyst,11:16 PM
Suspicious Person,Trolley - La Jolla Health Station,11:24 PM
Call For Help,Rita Atkinson Residences,11:43 PM
Reckless Driving,Scholars Parking,11:44 PM
Suspicious Person,Piedra,11:59 PM
Theft,UCSD East Campus Medical Center,11:00 AM
